"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","2025/11/28","해외증권_해외주식매수","JP3637270004","30","49800",".",".","125",".","","49925.","","","","",""
"","01","해외주식매수","트레져팩토리","1660",".",".",".",".","신한 SOL증권(Android)","JPY","61481.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/12/01","해외증권_해외주식매수","JP3637270004","29","47995",".",".","120",".","","48115.","","","","",""
"","01","해외주식매수","트레져팩토리","1655",".",".",".",".","신한 SOL증권(Android)","JPY","13366.","","","","",""
"","2025/12/08","예탁금이용료","","0","5",".",".","0",".","","5.","","","","",""
"","01","","","0",".",".","5.",".","","","28555.","","","","",""
"","2025/12/08","해외증권_해외주식매수","JP3637270004","8","12776",".",".","32",".","","12808.","","","","",""
"","01","해외주식매수","트레져팩토리","1597",".",".",".",".","신한 SOL증권(Android)","JPY","558.","","","","",""
"","2025/12/08","해외배당금","USD","0","5.91",".",".","0",".","","5.","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","5.","","","","",""
"","2025/12/08","외국납부세액","USD","0",".89",".",".","0",".","",".","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","5.","","","","",""
"","2025/12/08","외화RP매수출금","USD","0","5.02",".",".","0",".","","5.","","","","",""
"","01","","","1472.1",".",".",".",".","","",".","","","","",""
"","2025/12/08","외화RP매도입금","USD","0","449.35",".",".","0",".","","449.","","","","",""
"","01","","","1472.1",".",".",".",".","","","449.","","","","",""
"","2025/12/08","환전출금","USD","0",".07",".",".","0",".","",".","","","","",""
"","01","","","1472.1",".",".",".",".","","","449.","","","","",""
"","2025/12/08","환전입금","KRW","0","110",".",".","0",".","","110.","","","","",""
"","01","","","0",".",".",".",".","","","28665.","","","","",""
"","2025/12/08","외화RP원천징수","3500","0","110",".",".","0",".","","110.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","110.","","","28555.","","","","",""
"","2025/12/08","외화RP매도입금","USD","0","5.02",".",".","0",".","","5.","","","","",""
"","01","","","1472.1",".",".",".",".","","","454.","","","","",""
"","2025/12/10","해외증권_해외주식매수","US72703X1063","36","469.8","15.",".",".38",".","","470.","","","","",""
"","01","해외주식매수","플래닛 랩스","13.05",".",".",".",".","신한 SOL증권(Android)","USD","-15.","","","","",""
"","2025/12/10","환전출금","KRW","0","23825",".",".","0",".","","23825.","","","","",""
"","01","","대한민국원","0",".",".",".",".","","","4731.","","","","",""
"","2025/12/10","환전입금","USD","0","15.88","15.",".","0",".","","15.","","","","",""
"","01","","미국달러","1500.26",".",".",".",".","","",".","","","","",""
"","2025/12/10","기타가환전차액입금","","0","470",".",".","0",".","","470.","","","","",""
"","01","가환전차액입금","USD","1470.71",".",".",".",".","","USD","5201.","","","","",""
"","2025/12/10","은행이체입금","","0","1300000",".",".","0",".","","1300000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1305201.","","","","",""
"","2025/12/12","해외증권_해외주식매도","US33817P4054","31","508.09",".",".",".41",".","","507.","","","","",""
"","01","해외주식매도","핏라이프 브랜즈","16.39",".",".",".",".","신한 SOL증권(Android)","USD","507.","","","","",""
"","2025/12/12","해외증권_해외주식매도","US72703X1063","36","513",".",".",".41",".","","512.","","","","",""
"","01","해외주식매도","플래닛 랩스","14.25",".",".",".",".","신한 SOL증권(Android)","USD","1020.","","","","",""
"","2025/12/12","외화RP매수출금","USD","0","1020.27",".",".","0",".","","1020.","","","","",""
"","01","","","1469.5",".",".",".",".","","",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/12/15","해외배당금","USD","0","1.02",".",".","0",".","","1.","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","1.","","","","",""
"","2025/12/15","외국납부세액","USD","0",".15",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","",".","","","","",""
"","2025/12/17","해외증권_해외주식매수","US14888U1016","4","96.72","95.",".",".08",".","","96.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","24.18",".",".",".",".","신한 SOL증권(Android)","USD","-95.","","","","",""
"","2025/12/17","환전출금","KRW","0","144279",".",".","0",".","","144279.","","","","",""
"","01","","","0",".",".",".",".","","","1161281.","","","","",""
"","2025/12/17","환전입금","USD","0","95.93","95.",".","0",".","","95.","","","","",""
"","01","","","1504",".",".",".",".","","",".","","","","",""
"","2025/12/17","기타가환전차액입금","","0","2685",".",".","0",".","","2685.","","","","",""
"","01","가환전차액입금","USD","1476.01",".",".",".",".","","USD","1163966.","","","","",""
"","2025/12/18","해외증권_해외주식매수","US88642R1095","4","213.36","213.",".",".17",".","","213.","","","","",""
"","01","해외주식매수","타이드워터","53.34",".",".",".",".","신한 SOL증권(Android)","USD","-213.","","","","",""
"","2025/12/18","해외증권_해외주식매수","US88642R1095","6","318.3","318.",".",".25",".","","318.","","","","",""
"","01","해외주식매수","타이드워터","53.05",".",".",".",".","신한 SOL증권(Android)","USD","-532.","","","","",""
"","2025/12/18","환전출금","KRW","0","801324",".",".","0",".","","801324.","","","","",""
"","01","","","0",".",".",".",".","","","362670.","","","","",""
"","2025/12/18","환전입금","USD","0","532.08","532.",".","0",".","","532.","","","","",""
"","01","","","1506.02",".",".",".",".","","",".","","","","",""
"","2025/12/18","기타가환전차액입금","","0","14372",".",".","0",".","","14372.","","","","",""
"","01","가환전차액입금","USD","1479.01",".",".",".",".","","USD","377042.","","","","",""
"","2025/12/19","외화RP매도입금","USD","0","1020.92",".",".","0",".","","1020.","","","","",""
"","01","","","1478.6",".",".",".",".","","","1020.","","","","",""
"","2025/12/19","환전출금","USD","0",".09",".",".","0",".","",".","","","","",""
"","01","","","1478.6",".",".",".",".","","","1020.","","","","",""
"","2025/12/19","환전입금","KRW","0","140",".",".","0",".","","140.","","","","",""
"","01","","","0",".",".",".",".","","","377192.","","","","",""
"","2025/12/19","외화RP원천징수","3500","0","140",".",".","0",".","","140.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","140.","","","377052.","","","","",""
"","2025/12/19","외화RP매수출금","USD","0","766.63",".",".","0",".","","766.","","","","",""
"","01","","","1477.2",".",".",".",".","","","254.","","","","",""
"","2025/12/22","해외증권_해외주식매수","US88642R1095","5","254",".",".",".2",".","","254.","","","","",""
"","01","해외주식매수","타이드워터","50.8",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","2025/12/23","해외증권_해외주식매도","US0846707026","4","1997.8",".",".","1.6",".","","1996.","","","","",""
"","01","해외주식매도","버크셔 해서웨이 B","499.45",".",".",".",".","신한 SOL증권(Android)","USD","1996.","","","","",""
"","2025/12/23","외화RP매수출금","USD","0","1996.2",".",".","0",".","","1996.","","","","",""
"","01","","","1478.9",".",".",".",".","","",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/12/24","해외증권_해외주식매도","US0008991046","6","119.28",".",".",".1",".","","119.","","","","",""
"","01","해외주식매도","ADMA 바이오로직스","19.88",".",".",".",".","신한 SOL증권(Android)","USD","119.","","","","",""
"","2025/12/24","외화RP매수출금","USD","0","119.18",".",".","0",".","","119.","","","","",""
"","01","","","1483.4",".",".",".",".","","",".","","","","",""
"","2025/12/26","해외배당금","USD","0","6.31",".",".","0",".","","6.","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","6.","","","","",""
"","2025/12/26","외국납부세액","USD","0",".95",".",".","0",".","",".","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","5.","","","","",""
"","2025/12/26","외화RP매수출금","USD","0","5.36",".",".","0",".","","5.","","","","",""
"","01","","","1460.6",".",".",".",".","","",".","","","","",""
"","2026/01/05","해외증권_해외주식매도","CH1430134226","20","1089.9",".",".",".87",".","","1089.","","","","",""
"","01","해외주식매도","앰라이즈","54.495",".",".",".",".","신한 SOL증권(Android)","USD","1089.","","","","",""
"","2026/01/05","외화RP매수출금","USD","0","904.32",".",".","0",".","","904.","","","","",""
"","01","","","1442.1",".",".",".",".","","","184.","","","","",""
"","2026/01/06","외화RP매도입금","USD","0","767.89",".",".","0",".","","767.","","","","",""
"","01","","","1442.1",".",".",".",".","","","952.","","","","",""
"","2026/01/06","환전출금","USD","0",".18",".",".","0",".","",".","","","","",""
"","01","","","1442.1",".",".",".",".","","","952.","","","","",""
"","2026/01/06","환전입금","KRW","0","270",".",".","0",".","","270.","","","","",""
"","01","","","0",".",".",".",".","","","377644.","","","","",""
"","2026/01/06","외화RP원천징수","3500","0","270",".",".","0",".","","270.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","270.","","","377374.","","","","",""
"","2026/01/06","외화RP매도입금","USD","0","1998.65",".",".","0",".","","1998.","","","","",""
"","01","","","1442.1",".",".",".",".","","","2951.","","","","",""
"","2026/01/06","환전출금","USD","0",".36",".",".","0",".","",".","","","","",""
"","01","","","1442.1",".",".",".",".","","","2950.","","","","",""
"","2026/01/06","환전입금","KRW","0","530",".",".","0",".","","530.","","","","",""
"","01","","","0",".",".",".",".","","","377904.","","","","",""
"","2026/01/06","외화RP원천징수","3500","0","530",".",".","0",".","","530.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","530.","","","377374.","","","","",""
"","2026/01/06","외화RP매도입금","USD","0","119.31",".",".","0",".","","119.","","","","",""
"","01","","","1442.1",".",".",".",".","","","3070.","","","","",""
"","2026/01/06","환전출금","USD","0",".01",".",".","0",".","",".","","","","",""
"","01","","","1442.1",".",".",".",".","","","3070.","","","","",""
"","2026/01/06","환전입금","KRW","0","20",".",".","0",".","","20.","","","","",""
"","01","","","0",".",".",".",".","","","377394.","","","","",""
"","2026/01/06","외화RP원천징수","3500","0","20",".",".","0",".","","20.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","20.","","","377374.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2026/01/06","외화RP매도입금","USD","0","5.36",".",".","0",".","","5.","","","","",""
"","01","","","1442.1",".",".",".",".","","","3075.","","","","",""
"","2026/01/06","외화RP매도입금","USD","0","904.39",".",".","0",".","","904.","","","","",""
"","01","","","1442.1",".",".",".",".","","","3979.","","","","",""
"","2026/01/06","환전출금","USD","0",".01",".",".","0",".","",".","","","","",""
"","01","","","1442.1",".",".",".",".","","","3979.","","","","",""
"","2026/01/06","환전입금","KRW","0","10",".",".","0",".","","10.","","","","",""
"","01","","","0",".",".",".",".","","","377384.","","","","",""
"","2026/01/06","외화RP원천징수","3500","0","10",".",".","0",".","","10.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","10.","","","377374.","","","","",""
"","2026/01/06","해외증권_해외주식매수","US14888U1016","8","184.56",".",".",".15",".","","184.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","23.07",".",".",".",".","신한 SOL증권(Android)","USD","3795.","","","","",""
"","2026/01/06","외화RP매수출금","USD","0","3589.18",".",".","0",".","","3589.","","","","",""
"","01","","미국달러","1446.8",".",".",".",".","","","205.","","","","",""
"","2026/01/07","해외증권_해외주식매수","US14888U1016","9","205.695",".",".",".16",".","","205.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","22.855",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","2026/01/08","외화RP매도입금","USD","0","3589.8",".",".","0",".","","3589.","","","","",""
"","01","","","1445.7",".",".",".",".","","","3589.","","","","",""
"","2026/01/08","환전출금","USD","0",".08",".",".","0",".","",".","","","","",""
"","01","","","1445.7",".",".",".",".","","","3589.","","","","",""
"","2026/01/08","환전입금","KRW","0","130",".",".","0",".","","130.","","","","",""
"","01","","","0",".",".",".",".","","","377528.","","","","",""
"","2026/01/08","외화RP원천징수","3500","0","130",".",".","0",".","","130.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","130.","","","377398.","","","","",""
"","2026/01/08","해외증권_해외주식매수","US14888U1016","9","199.53",".",".",".16",".","","199.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","22.17",".",".",".",".","신한 SOL증권(Android)","USD","3390.","","","","",""
"","2026/01/08","외화RP매수출금","USD","0","1977.34",".",".","0",".","","1977.","","","","",""
"","01","","","1448.3",".",".",".",".","","","1412.","","","","",""
"","2026/01/09","해외증권_해외주식매수","US14888U1016","18","411.66",".",".",".33",".","","411.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","22.87",".",".",".",".","신한 SOL증권(Android)","USD","1000.","","","","",""
"","2026/01/09","해외증권_해외주식매수","US93627C1018","11","999.9",".",".",".8",".","","1000.","","","","",""
"","01","해외주식매수","워리어 멧 콜","90.9",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","2026/01/14","은행이체출금","","0","100000",".",".","0",".","기업은행","100000.","","","","",""
"","01","출금","현민재","0",".",".",".",".","28611106301011","현민재","277507.","","","","",""
"","2026/01/19","은행이체출금","","0","277572",".",".","0",".","기업은행","277572.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재",".","","","","",""
"","2026/02/03","외화RP매도입금","USD","0","100.02",".",".","0",".","","100.","","","","",""
"","01","","","1457.3",".",".",".",".","","","100.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2026/02/03","환전출금","USD","0",".02",".",".","0",".","",".","","","","",""
"","01","","","1457.3",".",".",".",".","","","100.","","","","",""
"","2026/02/03","환전입금","KRW","0","40",".",".","0",".","","40.","","","","",""
"","01","","","0",".",".",".",".","","","40.","","","","",""
"","2026/02/03","외화RP원천징수","3500","0","40",".",".","0",".","","40.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","40.","","",".","","","","",""
"","2026/02/04","환전출금","USD","0","100",".",".","0",".","","100.","","","","",""
"","01","","","1449.86",".",".",".",".","","",".","","","","",""
"","2026/02/04","환전입금","KRW","0","144986",".",".","0",".","","144986.","","","","",""
"","01","","","0",".",".",".",".","","","144986.","","","","",""
"","2026/02/04","은행이체출금","","0","144986",".",".","0",".","기업은행","144986.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재",".","","","","",""
"","2026/02/05","외화RP매도입금","USD","0","800.28",".",".","0",".","","800.","","","","",""
"","01","","","1449",".",".",".",".","","","800.","","","","",""
"","2026/02/05","환전출금","USD","0",".28",".",".","0",".","",".","","","","",""
"","01","","","1449",".",".",".",".","","","800.","","","","",""
"","2026/02/05","환전입금","KRW","0","420",".",".","0",".","","420.","","","","",""
"","01","","","0",".",".",".",".","","","420.","","","","",""
"","2026/02/05","외화RP원천징수","3500","0","420",".",".","0",".","","420.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","420.","","",".","","","","",""
"","2026/02/05","외화RP매도입금","USD","0","1081.85",".",".","0",".","","1081.","","","","",""
"","01","","","1451.2",".",".",".",".","","","1881.","","","","",""
"","2026/02/05","환전출금","USD","0",".39",".",".","0",".","",".","","","","",""
"","01","","","1451.2",".",".",".",".","","","1881.","","","","",""
"","2026/02/05","환전입금","KRW","0","580",".",".","0",".","","580.","","","","",""
"","01","","","0",".",".",".",".","","","580.","","","","",""
"","2026/02/05","외화RP원천징수","3500","0","580",".",".","0",".","","580.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","580.","","",".","","","","",""
"","2026/02/05","외화RP매수출금","USD","0","1081.46",".",".","0",".","","1081.","","","","",""
"","01","","","1451.2",".",".",".",".","","","800.","","","","",""
"","2026/02/05","외화RP매수출금","USD","0","800",".",".","0",".","","800.","","","","",""
"","01","","","1451.2",".",".",".",".","","",".","","","","",""
"","2026/02/05","외화RP매도입금","USD","0","400",".",".","0",".","","400.","","","","",""
"","01","","","1451.2",".",".",".",".","","","400.","","","","",""
"","2026/02/06","외화RP매수출금","USD","0","20.05",".",".","0",".","","20.","","","","",""
"","01","","","1464.1",".",".",".",".","","","379.","","","","",""
"","2026/02/09","해외증권_해외주식매수","US14888U1016","15","379.65",".",".",".3",".","","379.","","","","",""
"","01","해외주식매수","캐털리스트 파머슈티","25.31",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2026/02/09","해외배당금","USD","0","7.13",".",".","0",".","","7.","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","7.","","","","",""
"","2026/02/09","외국납부세액","USD","0","1.07",".",".","0",".","","1.","","","","",""
"","01","","SCHWAB SHORT TERM (미국달러)","0",".",".",".",".","","","6.","","","","",""
"","2026/02/09","외화RP매수출금","USD","0","6.06",".",".","0",".","","6.","","","","",""
"","01","","","1470.3",".",".",".",".","","",".","","","","",""
"","2026/02/13","외화RP매도입금","USD","0","1000.08",".",".","0",".","","1000.","","","","",""
"","01","","","1454.4",".",".",".",".","","","1000.","","","","",""
"","2026/02/13","환전출금","USD","0",".08",".",".","0",".","",".","","","","",""
"","01","","","1454.4",".",".",".",".","","","1000.","","","","",""
"","2026/02/13","환전입금","KRW","0","130",".",".","0",".","","130.","","","","",""
"","01","","","0",".",".",".",".","","","130.","","","","",""
"","2026/02/13","외화RP원천징수","3500","0","130",".",".","0",".","","130.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","130.","","",".","","","","",""
"","2026/02/13","외화RP매수출금","USD","0","49.17",".",".","0",".","","49.","","","","",""
"","01","","","1443.4",".",".",".",".","","","950.","","","","",""
"","2026/02/19","해외증권_해외주식매수","US93627C1018","11","950.07",".",".",".76",".","","950.","","","","",""
"","01","해외주식매수","워리어 멧 콜","86.37",".",".",".",".","신한 SOL(HTS) 고객용","USD",".","","","","",""
"","2026/02/20","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1400000.","","","","",""
"","2026/02/24","장내_매수","A466940","1","29760",".",".","0",".","","29760.","","","","",""
"","01","매수","TIGER 은행고배당플러스TOP10","29760",".",".",".",".","신한 SOL증권(Android)","","1370240.","","","","",""
"","2026/02/24","장내_매수","A466940","46","1367810",".",".","50",".","","1367860.","","","","",""
"","01","매수","TIGER 은행고배당플러스TOP10","29735",".",".",".",".","신한 SOL증권(Android)","","2380.","","","","",""
"","본 출력물은 회사의 공식적인 잔고(거래)증명서 양식이 아닙니다. 따라서 대외기관 등에 제출용도로 사용할 수 없으며, 회사의 공식 잔고(거래)증명서를 원하시는 고객께서는 영업점 고객지원팀에 발급을 의뢰하시거나 별도로 회사가 정한 절차를 이용하여 주시기 바랍니다. 본 출력물에는 고객의 금융거래정보가 포함되어 있으므로 정보유출로 인한 피해가 발생하지 않도록 유의하시기 바랍니다.","","","","","","","","","","","","","","",""
"","출력이 완료되었습니다. 감사합니다.","","","","","","","","","","","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
