"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","2025/02/07","외화RP원천징수","2611","0","500",".",".","0",".","","500.","","","","",""
"","01","","외화RP약정_온라인","0",".",".",".","500.","","","5141098.","","","","",""
"","2025/02/07","계좌대체출금","","0","3000000",".",".","0",".","신한투자증권","3000000.","","","","",""
"","01","출금","현민재","0",".",".",".",".","2703868749001","현민재","2141097.","","","","",""
"","2025/02/10","해외증권_해외주식매수","US88642R1095","4","216.76",".",".",".17",".","","216.","","","","",""
"","01","해외주식매수","타이드워터","54.19",".",".",".",".","신한 SOL증권(Android)","USD","3008.","","","","",""
"","2025/02/11","해외증권_해외주식매수","BMG0450A1053","2","187.3",".",".",".15",".","","187.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","93.65",".",".",".",".","신한 SOL증권(Android)","USD","2821.","","","","",""
"","2025/02/11","해외증권_해외주식매수","US93627C1018","6","315.9",".",".",".25",".","","316.","","","","",""
"","01","해외주식매수","워리어 멧 콜","52.65",".",".",".",".","신한 SOL증권(Android)","USD","2505.","","","","",""
"","2025/02/11","해외증권_해외주식매수","US1999081045","1","463.29",".",".",".37",".","","463.","","","","",""
"","01","해외주식매수","컴포트 시스템스 USA","463.29",".",".",".",".","신한 SOL증권(Android)","USD","2041.","","","","",""
"","2025/02/11","해외증권_해외주식매수","US88642R1095","10","536.3",".",".",".43",".","","536.","","","","",""
"","01","해외주식매수","타이드워터","53.63",".",".",".",".","신한 SOL증권(Android)","USD","1504.","","","","",""
"","2025/02/12","해외증권_해외주식매수","US88642R1095","5","278.95",".",".",".22",".","","279.","","","","",""
"","01","해외주식매수","타이드워터","55.79",".",".",".",".","신한 SOL(HTS) 고객용","USD","1225.","","","","",""
"","2025/02/12","해외증권_해외주식매수","BMG0450A1053","1","91.47",".",".",".07",".","","91.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","91.47",".",".",".",".","신한 SOL(HTS) 고객용","USD","1134.","","","","",""
"","2025/02/12","외화RP매수출금","USD","0","907.27",".",".","0",".","","907.","","","","",""
"","01","","","1453.5",".",".",".",".","","","226.","","","","",""
