Date,Anchor_Asset,External_Flow,Calculated_Asset,Prev_Asset,Daily_Return,Cumulative_TWR,Invested_Principal,Simple_Return,Peak,Drawdown
2025-04-28,,0.0,13014881.0,13030926.0,-0.0012313015974459995,-0.1481271592733393,15141154.0,-0.1404300491230721,15892620.0,-0.18107391984455679
2025-04-29,,0.0,12998835.0,13014881.0,-0.0012328964052763514,-0.1491774302364237,15141154.0,-0.1414898098255919,15892620.0,-0.18208357086496751
2025-04-30,12982789.0,0.0,12982789.0,12998835.0,-0.001234418315179786,-0.15022770119950823,15141154.0,-0.14254957052811168,15892620.0,-0.18309322188537824
2025-05-01,,0.0,12980013.0,12982789.0,-0.00021382154481597304,-0.15040940082517962,15141154.0,-0.14273291190354442,15892620.0,-0.18326789415464537
2025-05-02,,0.0,12977238.0,12980013.0,-0.00021379023272161124,-0.15059103499709525,15141154.0,-0.14291618723381327,15892620.0,-0.18344250350162528
2025-05-03,,0.0,12974462.0,12977238.0,-0.00021391300675843716,-0.15077273462276664,15141154.0,-0.14309952860924602,15892620.0,-0.1836171757708924
2025-05-04,,0.0,12971686.0,12974462.0,-0.00021395877532337515,-0.15095443424843802,15141154.0,-0.14328286998467887,15892620.0,-0.18379184804015952
2025-05-05,,0.0,12968911.0,12971686.0,-0.00021392747249660005,-0.15113606842035365,15141154.0,-0.1434661453149476,15892620.0,-0.18396645738713943
2025-05-06,,0.0,12966135.0,12968911.0,-0.0002140503547291006,-0.15131776804602504,15141154.0,-0.14364948669038036,15892620.0,-0.18414112965640655
2025-05-07,,0.0,12963359.0,12966135.0,-0.00021409618209278225,-0.1514994676716963,15141154.0,-0.1438328280658132,15892620.0,-0.18431580192567368
2025-05-08,,0.0,12960584.0,12963359.0,-0.00021406488858322081,-0.15168110184361194,15141154.0,-0.14401610339608195,15892620.0,-0.1844904112726536
2025-05-09,,0.0,12957808.0,12960584.0,-0.00021418787918814353,-0.15186280146928333,15141154.0,-0.1441994447715148,15892620.0,-0.1846650835419207
2025-05-10,,0.0,12955032.0,12957808.0,-0.0002142337654640336,-0.1520445010949547,15141154.0,-0.14438278614694755,15892620.0,-0.18483975581118783
2025-05-11,,0.0,12952257.0,12955032.0,-0.00021420248132153485,-0.15222613526687045,15141154.0,-0.1445660614772163,15892620.0,-0.18501436515816774
2025-05-12,,2.0,12949483.0,12952257.0,-0.00021432554738132215,-0.15240783486448495,15141156.0,-0.14474938373265556,15892620.0,-0.18518891158286047
2025-05-13,,0.0,12946707.0,12949483.0,-0.00021437149266889666,-0.15258953446209955,15141156.0,-0.14493272508387078,15892620.0,-0.1853635838521276
2025-05-14,,0.0,12943932.0,12946707.0,-0.00021434021794108915,-0.1527711686059685,15141156.0,-0.14511600038993056,15892620.0,-0.1855381931991075
2025-05-15,,8996194.0,21937350.0,12943932.0,-0.00012652616489072788,-0.15287836522078968,24137350.0,-0.09114505113444515,21937350.0,0.0
2025-05-16,,0.0,21934574.0,21937350.0,-0.00012654217578700333,-0.15298556183561085,24137350.0,-0.09126005961714934,21937350.0,-0.00012654217578695695
2025-05-17,,0.0,21931798.0,21934574.0,-0.00012655819073581487,-0.15309275845043202,24137350.0,-0.09137506809985352,21937350.0,-0.0002530843515739139
2025-05-18,,0.0,21929023.0,21931798.0,-0.00012652861384188085,-0.15319991644975794,24137350.0,-0.09149003515298904,21937350.0,-0.0003795809430035989
2025-05-19,,0.0,21926247.0,21929023.0,-0.00012659022702465883,-0.15330711306457911,24137350.0,-0.09160504363569322,21937350.0,-0.0005061231187905559
