Date,466940.KS,TDW,ADMA,TW,LEN,BMI,USLM,LW,FTLF,HMY,EVR,K.TO,IRMD,OPEN,SCHO,NICE,HCC,IGIC,PBR-A,AM,SM,ARIS.TO,ACGL,AMRZ,PL,CPRX,BRK-B,TIMB,3093.T,INVE,FIX,ITRN,494670.KS,Cash
2025-11-08,0.0,18076163.586194467,126141.05410372932,0.0,0.0,0.0,1505227.9817047147,0.0,3349514.111828249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754874.1996417046,0.0,0.0,0.0,0.0,0.0,0.0,1417603.838737812,0.0,0.0,0.0,0.0,1351769.9206623216,0.0,0.0,0.0,0.0,485740.3071270026
2025-11-09,0.0,18076163.586194467,126141.05410372932,0.0,0.0,0.0,1505227.9817047147,0.0,3349514.111828249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754874.1996417046,0.0,0.0,0.0,0.0,0.0,0.0,1417603.838737812,0.0,0.0,0.0,0.0,1351769.9206623216,0.0,0.0,0.0,0.0,534544.3071270026
2025-11-10,0.0,18763114.02471924,128330.04033279419,0.0,0.0,0.0,1559255.1256713867,0.0,3400266.1421585083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825030.984375,0.0,0.0,0.0,0.0,0.0,0.0,1403420.4969787598,0.0,0.0,0.0,0.0,1365896.7122854025,0.0,0.0,0.0,0.0,572392.4734789096
2025-11-11,0.0,20247105.07630878,140046.73891150346,0.0,0.0,0.0,1558487.2330787731,0.0,3518903.5545884203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558041.9920681827,0.0,0.0,0.0,0.0,0.0,0.0,1433696.4948173426,0.0,0.0,1447557.2999500483,0.0,1329669.2028717748,0.0,0.0,0.0,0.0,602477.407405179
2025-11-12,0.0,18841920.391318955,144173.78700527363,0.0,0.0,0.0,1605393.624140935,0.0,3489338.5568015655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592174.2159201717,0.0,0.0,0.0,0.0,0.0,0.0,1446350.6578353606,0.0,0.0,1466847.179835938,0.0,1377193.9122145234,0.0,0.0,0.0,0.0,666525.6749272756
2025-11-13,0.0,15183437.216085568,138287.48415982816,0.0,0.0,0.0,2261018.478961233,0.0,3412706.280525606,0.0,0.0,0.0,0.0,0.0,2867866.988988165,0.0,1531184.7191406973,0.0,0.0,0.0,0.0,0.0,0.0,1446315.1141643524,0.0,0.0,1506511.4614349604,0.0,1375154.0566084022,0.0,0.0,0.0,0.0,707146.1999311894
2025-11-14,0.0,15536895.31379141,137118.76565089636,0.0,0.0,0.0,2276758.8016171977,0.0,3345838.7736937366,0.0,0.0,0.0,0.0,0.0,2869214.8317675516,0.0,1501411.1458931118,0.0,0.0,0.0,0.0,0.0,0.0,1419945.5451598763,0.0,0.0,1494970.5022104979,0.0,1661835.1948746745,0.0,0.0,0.0,0.0,718135.1253410466
2025-11-15,0.0,15536895.31379141,137118.76565089636,0.0,0.0,0.0,2276758.8016171977,0.0,3345838.7736937366,0.0,0.0,0.0,0.0,0.0,2869214.8317675516,0.0,1501411.1458931118,0.0,0.0,0.0,0.0,0.0,0.0,1419945.5451598763,0.0,0.0,1494970.5022104979,0.0,1661835.1948746745,0.0,0.0,0.0,0.0,766939.1253410466
2025-11-16,0.0,15536895.31379141,137118.76565089636,0.0,0.0,0.0,2276758.8016171977,0.0,3345838.7736937366,0.0,0.0,0.0,0.0,0.0,2869214.8317675516,0.0,1501411.1458931118,0.0,0.0,0.0,0.0,0.0,0.0,1419945.5451598763,0.0,0.0,1494970.5022104979,0.0,1661835.1948746745,0.0,0.0,0.0,0.0,815743.1253410466
2025-11-17,0.0,11934537.791031612,133832.95897271577,0.0,0.0,0.0,2863595.7057316825,0.0,3207825.0624964843,0.0,0.0,0.0,0.0,0.0,2827045.3676158944,0.0,1464284.212143179,0.0,0.0,0.0,0.0,0.0,0.0,1376731.0265145078,0.0,0.0,1455961.4333404303,0.0,1611605.5393458542,0.0,0.0,0.0,0.0,882733.9028076418
